zone,direction,segments,risk_mean,risk_median,risk_p95,risk_max,contextual_mean,confidence_mean,uncertainty_mean,crime_mean,lighting_mean,police_mean,cctv_mean,congestion_mean,travel_time_mean,connectivity_mean,isolation_mean,road_risk_mean,behav_adj_mean,poi_interaction_mean
NORTH BANGALORE,Bi-directional,4498,75.69,77.27,96.69,100.0,86.37,0.23,0.89,0.4638626945309026,0.9938224321920854,0.6779615384615385,0.22719159626500665,0.52,12.15,0.5,0.87,0.61,0.17735882614495332,-0.0016808136949755447
EAST BANGALORE,Bi-directional,3593,73.82,77.1,96.28,100.0,85.39,0.25,0.86,0.45592251600333983,0.9868372669078764,0.6956998886724186,0.2579626774283329,0.53,12.31,0.49,0.87,0.61,0.16467019204007793,0.0021599499025883664
WEST BANGALORE,Bi-directional,3698,72.76,75.67,95.64,100.0,84.85,0.27,0.85,0.46159770146024875,0.9909341535965386,0.6626450513791239,0.2464362358031368,0.53,12.24,0.51,0.85,0.6,0.16787993510005406,-0.0014385613845321794
SOUTH BANGALORE,Bi-directional,4249,72.28,75.97,95.14,100.0,84.53,0.31,0.81,0.460565921393269,0.9886890091786302,0.6825221463873853,0.25302671216756883,0.54,12.38,0.5,0.87,0.61,0.16339373970345963,-0.0036983760884914097
LOGISTICS / HIGH TRAFFIC ZONES,Bi-directional,1344,72.07,74.57,95.14,100.0,84.57,0.3,0.83,0.45244940476190476,0.9873420386904761,0.6763425595238095,0.2531546875,0.53,12.31,0.5,0.85,0.6,0.1691517857142857,-0.0025194196428571427
AIRPORT & PERIPHERAL ZONES,Bi-directional,643,69.72,72.36,93.69,100.0,83.42,0.14,0.96,0.28150777604976673,0.9884919129082426,0.7860780715396578,0.24081150855365474,0.49,11.8,0.48,0.9,0.6,0.17076205287713841,6.220839813374805e-07
SOUTHEAST / IT CORRIDOR,Bi-directional,3119,59.36,62.85,93.89,100.0,77.83,0.25,0.86,0.441424751522924,0.9583008656620712,0.6861885860852838,0.28998775248477077,0.54,12.36,0.49,0.87,0.6,0.10855402372555306,0.0019372234690605964
CENTRAL BANGALORE,Bi-directional,3952,32.51,29.39,55.05,100.0,63.1,0.53,0.59,0.41719390182186233,0.8916051366396761,0.6694778340080972,0.363976012145749,0.56,12.66,0.49,0.8,0.57,0.007664903846153846,0.00011950910931174094
