zone_type,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
Airport Zone,64.00135131886131,63.51488570163124,63.302621628108774,63.45321778247231,63.98436779724924,64.70653811253999,65.34251583249946,65.71831223839207,65.79152449808623,65.65855544491818,65.53361442214565,65.57585986037003,65.73126380067123,65.86993110807319,65.99073969690423,66.14312247226113,66.30338067757457,66.41842037753055,66.45940288744475,66.41347981754102,66.25127993131939,65.91773452256855,65.37230022330033,64.6748270862981
Commercial Hub,68.06788408750063,68.31804065060305,68.31662286733652,67.73560869489397,66.63972137847504,65.54714027503869,65.15864426055512,65.58491549999682,66.16146062677556,66.40144937094156,66.48376000144265,66.66997995549983,66.88335505696087,67.01587472692712,67.27829547436207,67.92969084504362,68.85074940867239,69.59632301627815,69.82401011479365,69.53115166205865,68.98313301978173,68.47991549207019,68.13419235229492,67.9721852389249
IT Corridor,67.5103213865249,67.63965396021233,67.64408097371377,67.14963893421361,66.25062498368852,65.49259515668525,65.51675618281129,66.39835091497078,67.36295472207617,67.68646452205428,67.55231514915091,67.46133711038391,67.50945558313464,67.58428995205405,67.70312036060896,67.99691261750101,68.60476742025281,69.45790195334804,70.18157617772212,70.44786472659294,70.17279868699163,69.42405144503859,68.47023072399077,67.74005607307934
Industrial Zone,79.2473856608073,79.27924092610677,79.24542490641277,78.99565887451172,78.49449412027995,77.8740971883138,77.31869252522786,76.89008331298828,76.55729420979817,76.37661234537761,76.4238510131836,76.59684753417969,76.72447204589844,76.78769429524739,76.89410400390625,77.1472905476888,77.55781555175781,78.04968770345052,78.52001698811848,78.9011001586914,79.17269643147786,79.31170654296875,79.31603240966797,79.26258341471355
Logistics Zone,84.85520177102055,85.25535740734703,85.4084024969137,84.86104951368534,83.3519592340522,80.88859745241561,77.97924380586178,75.54366480214156,74.23835654459428,74.02828049071468,74.4176094929954,74.8838376043843,75.13536422519103,75.18512867012633,75.27333935044155,75.6794211743359,76.57731511319497,77.98003864149916,79.7141455828884,81.46465896695031,82.90963232430734,83.8651321975863,84.34985775663822,84.57647037921346
Nightlife Hub,81.30068847152207,82.18215114719517,82.18539613718028,80.54381538368202,76.86499165772676,71.66675240857465,66.6336915099227,63.31186406247251,61.87668979346931,61.69521322049894,62.19988717832365,62.95163478221263,63.481117196985196,63.68784311941794,64.0891718105511,65.2516337729789,67.23328261905246,69.6668753838754,72.12968968342733,74.37035852724368,76.31741266565638,77.9365420814033,79.20086789059567,80.24919229226785
Residential Hub,77.07114903455138,77.24328904672704,77.20866997932504,76.60237095523853,75.41928336359936,74.18146537399642,73.36756711764528,72.64626344165875,71.5034541981208,70.22673574487395,69.47595139370063,69.33721895319178,69.39602883852714,69.44634040711482,69.7926174812522,70.84782090817896,72.5088152627231,74.15763536330458,75.33934656245471,76.11680760176667,76.66679855922861,76.97439584698294,77.0375186314476,77.00529063149644
Transit Zone,73.12004840735233,73.32331536032937,73.31875436956233,72.83801020997943,71.97469633275813,71.24828058300596,70.9116036386201,70.51527121572784,69.70193235801928,68.83188334378329,68.44466504183683,68.53522575262821,68.66409576300418,68.64464225191058,68.82154695915453,69.57029796369147,70.7352408206824,71.72644866596569,72.1569133238359,72.19050716631341,72.19826311053652,72.36821324897535,72.64903739004424,72.90374339710583
